agent_id,x,y,z,timestep
1,6,4,0,0
1,5,4,0,0
1,4,4,0,1
1,3,4,0,2
1,2,4,0,3
1,3,4,0,4
1,4,4,0,5
1,5,4,0,6
1,6,4,0,7
1,7,4,0,8
1,8,4,0,9
1,9,4,0,10
1,9,3,0,11
1,10,3,0,12
1,11,3,0,13
1,12,3,0,14
1,13,3,0,15
1,14,3,0,16
1,15,3,0,17
1,16,3,0,18
1,16,4,0,19
1,16,3,0,20
1,17,3,0,21
1,18,3,0,22
1,19,3,0,23
1,20,3,0,24
1,21,3,0,25
1,22,3,0,26
1,23,3,0,27
1,24,3,0,28
1,25,3,0,29
1,26,3,0,30
1,27,3,0,31
1,27,4,0,32
1,27,3,0,33
1,26,3,0,34
1,25,3,0,35
1,24,3,0,36
1,23,3,0,37
1,22,3,0,38
1,21,3,0,39
1,20,3,0,40
1,19,3,0,41
1,18,3,0,42
1,17,3,0,43
1,17,4,0,44
1,17,3,0,45
1,16,3,0,46
1,15,3,0,47
1,15,4,0,48
1,15,3,0,49
1,16,3,0,50
1,17,3,0,51
1,18,3,0,52
1,19,3,0,53
1,20,3,0,54
1,21,3,0,55
1,22,3,0,56
1,23,3,0,57
1,24,3,0,58
1,25,3,0,59
1,26,3,0,60
1,27,3,0,61
1,27,4,0,62
1,27,3,0,63
1,26,3,0,64
1,25,3,0,65
1,24,3,0,66
1,23,3,0,67
1,22,3,0,68
1,21,3,0,69
1,21,4,0,70
1,21,5,0,71
1,21,6,0,72
1,20,6,0,73
1,19,6,0,74
1,18,6,0,75
1,17,6,0,76
1,17,5,0,77
1,17,6,0,78
1,18,6,0,79
1,19,6,0,80
1,20,6,0,81
1,21,6,0,82
1,22,6,0,83
1,23,6,0,84
1,24,6,0,85
1,25,6,0,86
1,25,5,0,87
1,26,5,0,88
1,26,5,0,89
1,26,5,0,90
1,26,5,0,91
1,26,5,0,92
1,26,5,0,93
1,26,5,0,94
1,26,5,0,95
1,26,5,0,96
1,26,5,0,97
1,26,5,0,98
1,26,5,0,99
1,26,5,0,100
1,26,5,0,101
1,26,5,0,102
1,26,5,0,103
1,26,5,0,104
1,26,5,0,105
1,26,5,0,106
1,26,5,0,107
1,26,5,0,108
1,26,4,0,109
1,26,3,0,110
1,27,3,0,111
1,27,4,0,112
1,27,3,0,113
1,26,3,0,114
1,25,3,0,115
1,24,3,0,116
1,23,3,0,117
1,22,3,0,118
1,21,3,0,119
1,21,4,0,120
1,21,5,0,121
1,21,6,0,122
1,20,6,0,123
1,19,6,0,124
1,18,6,0,125
1,18,7,0,126
1,18,8,0,127
1,18,9,0,128
1,18,10,0,129
1,18,11,0,130
1,18,12,0,131
1,18,13,0,132
1,17,13,0,133
1,17,14,0,134
1,17,15,0,135
1,17,16,0,136
1,17,17,0,137
1,16,17,0,138
1,15,17,0,139
1,15,18,0,140
1,15,19,0,141
1,15,20,0,142
1,14,20,0,143
1,13,20,0,144
1,12,20,0,145
1,11,20,0,146
1,10,20,0,147
1,9,20,0,148
1,8,20,0,149
1,7,20,0,150
1,7,20,0,151
1,6,20,0,152
1,7,20,0,153
1,8,20,0,154
1,9,20,0,155
1,10,20,0,156
1,11,20,0,157
1,12,20,0,158
1,13,20,0,159
1,14,20,0,160
1,15,20,0,161
1,16,20,0,162
1,17,20,0,163
1,18,20,0,164
1,19,20,0,165
1,20,20,0,166
1,21,20,0,167
1,22,20,0,168
1,23,20,0,169
1,24,20,0,170
1,25,20,0,171
1,26,20,0,172
1,26,20,0,173
1,26,20,0,174
1,26,20,0,175
1,26,20,0,176
1,26,20,0,177
1,26,20,0,178
1,26,20,0,179
1,26,20,0,180
1,26,20,0,181
1,26,20,0,182
1,26,20,0,183
1,26,20,0,184
1,26,20,0,185
1,26,20,0,186
1,26,20,0,187
1,26,20,0,188
1,26,20,0,189
1,26,20,0,190
1,26,20,0,191
1,26,20,0,192
1,26,20,0,193
1,26,20,0,194
1,26,20,0,195
1,26,20,0,196
1,26,20,0,197
2,6,12,0,0
2,5,12,0,0
2,4,12,0,1
2,3,12,0,2
2,2,12,0,3
2,3,12,0,4
2,4,12,0,5
2,5,12,0,6
2,6,12,0,7
2,7,12,0,8
2,8,12,0,9
2,9,12,0,10
2,9,11,0,11
2,10,11,0,12
2,11,11,0,13
2,12,11,0,14
2,13,11,0,15
2,14,11,0,16
2,14,12,0,17
2,14,11,0,18
2,13,11,0,19
2,12,11,0,20
2,11,11,0,21
2,10,11,0,22
2,9,11,0,23
2,8,11,0,24
2,7,11,0,25
2,6,11,0,26
2,5,11,0,27
2,4,11,0,28
2,3,11,0,29
2,2,11,0,30
2,3,11,0,31
2,4,11,0,32
2,5,11,0,33
2,6,11,0,34
2,7,11,0,35
2,8,11,0,36
2,9,11,0,37
2,10,11,0,38
2,11,11,0,39
2,12,11,0,40
2,13,11,0,41
2,14,11,0,42
2,15,11,0,43
2,16,11,0,44
2,17,11,0,45
2,18,11,0,46
2,19,11,0,47
2,20,11,0,48
2,21,11,0,49
2,22,11,0,50
2,23,11,0,51
2,24,11,0,52
2,25,11,0,53
2,26,11,0,54
2,26,11,0,55
2,26,11,0,56
2,26,11,0,57
2,26,11,0,58
2,26,11,0,59
2,26,11,0,60
2,26,11,0,61
2,26,11,0,62
2,26,11,0,63
2,26,11,0,64
2,26,11,0,65
2,26,11,0,66
2,26,11,0,67
2,26,11,0,68
2,26,11,0,69
2,26,11,0,70
2,26,11,0,71
2,26,11,0,72
2,26,11,0,73
2,26,11,0,74
2,25,11,0,75
2,25,10,0,76
2,25,9,0,77
2,25,8,0,78
2,25,7,0,79
2,25,7,0,80
2,25,6,0,81
2,25,5,0,82
2,25,4,0,83
2,26,4,0,84
2,25,4,0,85
2,24,4,0,86
2,23,4,0,87
2,22,4,0,88
2,21,4,0,89
2,21,3,0,90
2,20,3,0,91
2,19,3,0,92
2,18,3,0,93
2,17,3,0,94
2,16,3,0,95
2,15,3,0,96
2,14,3,0,97
2,13,3,0,98
2,12,3,0,99
2,12,4,0,100
2,12,3,0,101
2,11,3,0,102
2,10,3,0,103
2,9,3,0,104
2,8,3,0,105
2,7,3,0,106
2,6,3,0,107
2,5,3,0,108
2,6,3,0,109
2,7,3,0,110
2,8,3,0,111
2,9,3,0,112
2,10,3,0,113
2,11,3,0,114
2,12,3,0,115
2,13,3,0,116
2,14,3,0,117
2,15,3,0,118
2,16,3,0,119
2,17,3,0,120
2,18,3,0,121
2,19,3,0,122
2,20,3,0,123
2,21,3,0,124
2,22,3,0,125
2,23,3,0,126
2,24,3,0,127
2,25,3,0,128
2,26,3,0,129
2,26,4,0,130
2,26,5,0,131
2,26,5,0,132
2,26,5,0,133
2,26,5,0,134
2,26,5,0,135
2,26,5,0,136
2,26,5,0,137
2,26,5,0,138
2,26,5,0,139
2,26,5,0,140
2,26,5,0,141
2,26,5,0,142
2,26,5,0,143
2,26,5,0,144
2,26,5,0,145
2,26,5,0,146
2,26,5,0,147
2,26,5,0,148
2,26,5,0,149
2,26,5,0,150
2,26,5,0,151
2,25,5,0,152
2,25,6,0,153
2,25,7,0,154
2,25,8,0,155
2,25,9,0,156
2,25,10,0,157
2,25,11,0,158
2,25,12,0,159
2,25,13,0,160
2,25,14,0,161
2,25,15,0,162
2,25,16,0,163
2,25,17,0,164
2,25,18,0,165
2,25,19,0,166
2,25,20,0,167
2,25,21,0,168
2,25,22,0,169
2,25,23,0,170
2,25,24,0,171
2,25,25,0,172
2,26,25,0,173
2,26,25,0,174
2,26,26,0,175
2,27,26,0,176
2,27,25,0,177
2,27,25,0,178
2,27,25,0,179
2,27,25,0,180
2,27,25,0,181
2,27,25,0,182
2,27,25,0,183
2,27,25,0,184
2,27,25,0,185
2,27,25,0,186
2,27,25,0,187
2,27,25,0,188
2,27,25,0,189
2,27,25,0,190
2,27,25,0,191
2,27,25,0,192
2,27,25,0,193
