agent,timestep,location,x,y,orientation
0,0,836,26,27,-1
0,1,835,25,27,-1
0,2,834,24,27,-1
0,3,833,23,27,-1
0,4,832,22,27,-1
1,0,246,6,8,-1
1,1,276,6,9,-1
1,2,306,6,10,-1
1,3,336,6,11,-1
1,4,366,6,12,-1
2,0,381,21,12,-1
2,1,382,22,12,-1
2,2,352,22,11,-1
2,3,322,22,10,-1
2,4,292,22,9,-1
3,0,224,14,7,-1
3,1,194,14,6,-1
3,2,164,14,5,-1
3,3,134,14,4,-1
3,4,135,15,4,-1
4,0,755,5,25,-1
4,1,754,4,25,-1
4,2,724,4,24,-1
4,3,694,4,23,-1
4,4,664,4,22,-1
0,5,831,21,27,-1
0,6,830,20,27,-1
0,7,829,19,27,-1
0,8,828,18,27,-1
0,9,827,17,27,-1
1,5,396,6,13,-1
1,6,426,6,14,-1
1,7,456,6,15,-1
1,8,486,6,16,-1
1,9,487,7,16,-1
2,5,262,22,8,-1
2,6,232,22,7,-1
2,7,202,22,6,-1
2,8,172,22,5,-1
2,9,142,22,4,-1
3,5,134,14,4,-1
3,6,133,13,4,-1
3,7,132,12,4,-1
3,8,131,11,4,-1
3,9,130,10,4,-1
4,5,634,4,21,-1
4,6,604,4,20,-1
4,7,574,4,19,-1
4,8,544,4,18,-1
4,9,514,4,17,-1
0,10,826,16,27,-1
0,11,796,16,26,-1
0,12,766,16,25,-1
0,13,736,16,24,-1
0,14,706,16,23,-1
1,10,488,8,16,-1
1,11,489,9,16,-1
1,12,490,10,16,-1
1,13,491,11,16,-1
1,14,492,12,16,-1
2,10,143,23,4,-1
2,11,144,24,4,-1
2,12,145,25,4,-1
2,13,175,25,5,-1
2,14,205,25,6,-1
3,10,129,9,4,-1
3,11,128,8,4,-1
3,12,127,7,4,-1
3,13,126,6,4,-1
3,14,125,5,4,-1
4,10,484,4,16,-1
4,11,454,4,15,-1
4,12,484,4,16,-1
4,13,514,4,17,-1
4,14,544,4,18,-1
0,15,676,16,22,-1
0,16,646,16,21,-1
0,17,616,16,20,-1
0,18,617,17,20,-1
0,19,587,17,19,-1
1,15,493,13,16,-1
1,16,494,14,16,-1
1,17,495,15,16,-1
1,18,496,16,16,-1
1,19,497,17,16,-1
2,15,235,25,7,-1
2,16,265,25,8,-1
2,17,295,25,9,-1
2,18,325,25,10,-1
2,19,355,25,11,-1
3,15,124,4,4,-1
3,16,125,5,4,-1
3,17,126,6,4,-1
3,18,127,7,4,-1
3,19,128,8,4,-1
4,15,543,3,18,-1
4,16,573,3,19,-1
4,17,603,3,20,-1
4,18,633,3,21,-1
4,19,663,3,22,-1
0,20,557,17,18,-1
0,21,527,17,17,-1
0,22,526,16,17,-1
0,23,525,15,17,-1
0,24,495,15,16,-1
1,20,498,18,16,-1
1,21,499,19,16,-1
1,22,500,20,16,-1
1,23,501,21,16,-1
1,24,471,21,15,-1
2,20,385,25,12,-1
2,21,415,25,13,-1
2,22,445,25,14,-1
2,23,475,25,15,-1
