agent,timestep,location,x,y,orientation
4,0,776,26,25,-1
4,1,775,25,25,-1
4,2,774,24,25,-1
4,3,773,23,25,-1
4,4,743,23,24,-1
4,5,713,23,23,-1
4,6,683,23,22,-1
4,7,653,23,21,-1
4,8,623,23,20,-1
4,9,593,23,19,-1
4,10,563,23,18,-1
4,11,533,23,17,-1
4,12,503,23,16,-1
4,13,473,23,15,-1
4,14,443,23,14,-1
4,15,413,23,13,-1
4,16,383,23,12,-1
4,17,353,23,11,-1
4,18,323,23,10,-1
4,19,293,23,9,-1
4,20,263,23,8,-1
4,21,233,23,7,-1
4,22,232,22,7,-1
4,23,231,21,7,-1
4,24,201,21,6,-1
4,25,171,21,5,-1
4,26,141,21,4,-1
4,27,111,21,3,-1
4,28,110,20,3,-1
4,29,109,19,3,-1
4,30,108,18,3,-1
4,31,107,17,3,-1
4,32,106,16,3,-1
4,33,105,15,3,-1
4,34,104,14,3,-1
4,35,103,13,3,-1
4,36,133,13,4,-1
4,37,133,13,4,-1
4,38,133,13,4,-1
4,39,122,2,4,-1
4,40,123,3,4,-1
4,41,124,4,4,-1
4,42,125,5,4,-1
4,43,126,6,4,-1
4,44,127,7,4,-1
4,45,128,8,4,-1
4,46,129,9,4,-1
4,47,159,9,5,-1
4,48,189,9,6,-1
4,49,190,10,6,-1
4,50,191,11,6,-1
4,51,161,11,5,-1
4,52,161,11,5,-1
4,53,161,11,5,-1
4,54,782,2,26,-1
4,55,783,3,26,-1
4,56,784,4,26,-1
4,57,785,5,26,-1
4,58,786,6,26,-1
4,59,787,7,26,-1
4,60,757,7,25,-1
4,61,727,7,24,-1
4,62,697,7,23,-1
4,63,667,7,22,-1
4,64,637,7,21,-1
4,65,607,7,20,-1
4,66,608,8,20,-1
4,67,609,9,20,-1
4,68,579,9,19,-1
4,69,549,9,18,-1
4,70,519,9,17,-1
4,71,489,9,16,-1
4,72,459,9,15,-1
4,73,429,9,14,-1
4,74,399,9,13,-1
4,75,369,9,12,-1
4,76,339,9,11,-1
4,77,340,10,11,-1
4,78,341,11,11,-1
4,79,342,12,11,-1
4,80,343,13,11,-1
4,81,313,13,10,-1
4,82,283,13,9,-1
4,83,253,13,8,-1
4,84,223,13,7,-1
4,85,193,13,6,-1
4,86,163,13,5,-1
4,87,163,13,5,-1
4,88,147,27,4,-1
4,89,146,26,4,-1
4,90,145,25,4,-1
4,91,144,24,4,-1
4,92,143,23,4,-1
4,93,142,22,4,-1
4,94,141,21,4,-1
4,95,171,21,5,-1
4,96,201,21,6,-1
4,97,200,20,6,-1
4,98,199,19,6,-1
4,99,198,18,6,-1
4,100,228,18,7,-1
4,101,258,18,8,-1
4,102,288,18,9,-1
4,103,318,18,10,-1
4,104,348,18,11,-1
4,105,378,18,12,-1
4,106,408,18,13,-1
4,107,407,17,13,-1
4,108,437,17,14,-1
4,109,467,17,15,-1
4,110,497,17,16,-1
4,111,527,17,17,-1
4,112,557,17,18,-1
4,113,587,17,19,-1
4,114,587,17,19,-1
4,115,587,17,19,-1
4,116,587,17,19,-1
4,117,122,2,4,-1
4,118,123,3,4,-1
4,119,124,4,4,-1
4,120,125,5,4,-1
4,121,126,6,4,-1
4,122,127,7,4,-1
4,123,157,7,5,-1
4,124,187,7,6,-1
4,125,217,7,7,-1
4,126,247,7,8,-1
4,127,277,7,9,-1
4,128,307,7,10,-1
4,129,308,8,10,-1
4,130,309,9,10,-1
4,131,339,9,11,-1
4,132,369,9,12,-1
4,133,399,9,13,-1
4,134,400,10,13,-1
4,135,401,11,13,-1
4,136,402,12,13,-1
4,137,403,13,13,-1
4,138,433,13,14,-1
4,139,463,13,15,-1
4,140,493,13,16,-1
4,141,523,13,17,-1
4,142,553,13,18,-1
4,143,583,13,19,-1
4,144,613,13,20,-1
4,145,614,14,20,-1
4,146,615,15,20,-1
4,147,616,16,20,-1
4,148,617,17,20,-1
4,149,647,17,21,-1
4,150,677,17,22,-1
4,151,707,17,23,-1
4,152,737,17,24,-1
4,153,767,17,25,-1
4,154,797,17,26,-1
4,155,797,17,26,-1
4,156,602,2,20,-1
4,157,603,3,20,-1
4,158,604,4,20,-1
4,159,605,5,20,-1
4,160,606,6,20,-1
4,161,607,7,20,-1
4,162,608,8,20,-1
4,163,609,9,20,-1
4,164,610,10,20,-1
4,165,611,11,20,-1
4,166,641,11,21,-1
4,167,671,11,22,-1
4,168,701,11,23,-1
4,169,731,11,24,-1
4,170,761,11,25,-1
4,171,791,11,26,-1
4,172,791,11,26,-1
